mail runner,  தபாற்காரன், ஓட்டக்காரன், 
relay man,  ஓட்டக்காரன், 
relay-man,  ஓட்டக்காரன், 
one who runs fastly,  ஓட்டக்காரன், 
hurry and bustle,  ஓட்டசாட்டம், 
tile roofed house,  ஓட்டடுக்குவீடு, 
tile-roofed house,  ஓட்டடுக்குவீடு, 
pancake,  அடை/ கற்காரை வட்டு, ஓட்டடை, ஓட்டப்பம், 
slewing,  விரைதல், ஓட்டம்/ விசைவுத் திருப்பீடு/ கோணத்திருப்பம், 
running ra,  ஓட்டம், 
run in cri,  ஓட்டம், 
flow in a,  ஓட்டம், 
run about,  ஓட்டம், 
rising higher in price,  ஓட்டம், 
purifying by melting,  ஓட்டம், 
quickness of mind,  ஓட்டம்: மனவிரைவு, 
restauran,  கிளப், ஓட்டல், 
to thrust into,  ஓட்டல், 
as a lint is thrust into a sinus,  ஓட்டல், 
great great grand father,  ஓட்டன், 
great-great-grandfather,  ஓட்டன்/ கொப்பாட்டன், 
broken piece of a tile,  ஓட்டாங்கட்டி, 
broken oyster-shell,  ஓட்டாங்கிளிஞ்சில், 
broken piece of earthenware,  ஓட்டாங்குச்சு, 
cocoanut shell,  ஓட்டாங்குச்சு, 
carrying about a potsherd or bowl in hand,  ஓட்டாண்டி, 
great great grand mother,  ஓட்டி, 
one who drives,  ஓட்டி, 
that which drives,  ஓட்டி, 
instrument of driving,  ஓட்டி, 
hard outer shell,  ஓட்டி, 
plantain tree which bears fruit but to perish,  ஓட்டியம், 
drivers ant,  ஓட்டியெறும்பு, 
common in africa,  ஓட்டியெறும்பு, 
orissa state,  ஓட்டிரம், 
to cause to run,  ஓட்டு, 
to steer,  ஓட்டு, 
put to flight,  ஓட்டு, 
chase,  தொடர் காப்பூர்தி, ஓட்டு, எழுத்துப்பிடி சட்டம்/ கலை/ வேட்டம, துரத்தல்/ வேட்டம்/ விட்டடி, உயரத்திசை குழாய்த்தடம், அச்சு தலையுறுப்பு, உருப்பள்ளம், 
as ignorance,  ஓட்டு, 
to pass in,  ஓட்டு, 
to darn,  ஓட்டு, 
to stitch a running stitch,  ஓட்டு, 
to polish a plastered wall with a float,  ஓட்டு, 
sailing of a vessel,  ஓட்டு, 
course of conduct,  ஓட்டு/ வழி, 
seam of cloth,  ஓட்டு, 
put to flight chase,  ஓட்டு, 
to pass in insert,  ஓட்டு, 
current be tween the waves and the shore,  ஓட்டு, 
pertaining to tiles,  ஓட்டு, 
having or covered with a shell,  ஓட்டு, 
tiled rood,  ஓட்டுக்கூரை, 
tiled roof,  ஓட்டுக்கூரை, ஒட்டுக்கூரை, ஓட்டுத்தடுக்கு, 
vessel of bell-metal,  ஓட்டுகலம், 
honey-comb tie-work,  ஓட்டுச்சாலர்வேலை, 
urena sinnuata,  ஓட்டுத்துத்தி, 
angleleaved burr mallow,  ஓட்டுத்துத்தி, 
brazier,  தழல் தட்டு/ கன்னான்/ கனற்சட்டி/ கன்னம், ஓட்டுப்பணிக்காரன்/ கன்னான்./ கஞ்சகாரன்/ கனல்தட்டு, 
game in which the players sit in a circle and a ball is dropped behind one after another,  ஓட்டுப்பந்து, 
like drop the handkerchief,  ஓட்டுப்பந்து, 
like the drop of the handkerchief,  ஓட்டுப்பந்து, 
crustacean,  மேலோட்டு, ஓட்டுடலி, ஓட்டுப்பந்து: மேல்ஒட்டுக் கணுக்காலி, 
pearl of inferior quality,  ஓட்டுமுத்து, 
found adhering to the oyster,  ஓட்டுமுத்து, 
pearl without lustre,  ஓட்டுமுத்து, 
bangle made of bell-metal,  ஓட்டுவளை, 
tiled house,  ஓட்டுவீடு -, ஓட்டுவீடு, 
dist fr or,  ஓட்டுவீடு, 
sutures on the skull,  ஓட்டெழுத்து, 
regarded as brahmas writing of destiny,  ஓட்டெழுத்து, 
ostium,  திறப்பு/ வாயில்; நுழைவுவழி/ வாய்/ வாய்த்துளை, ஓட்டை, துளை, 
puncture,  பொத்தல், துளைப்பு, பொளி/ கிழிசல்/ குத்து/ குற்று, பொள்ளை, ஓட்டை, துளை/ கீறல், பொள்ளல், துளையிடுதல், 
perferation,  ஓட்டை, 
puncuture,  ஓட்டை, துளை, 
loophole,  தப்பிப்புவழி// சட்ட ஓட்டை;- இடுக்குவழி, ஓட்டை, 
crack in a vessel,  ஓட்டை, 
any cracked article,  ஓட்டை, 
as a bell,  ஓட்டை, 
an ending of the instrumental case having the force of together with,  ஓட்டை, 
used as adj meaning equal with,  ஓட்டை, 
used as adj meaning equal with as,  ஓட்டை, 
being incapable of saving or conserving money,  ஓட்டைக்கை, 
lavish disposition,  ஓட்டைக்கை, 
a hand that retains nothing,  ஓட்டைக்கை, 
ear that fails to retain what it hears,  ஓட்டைச்செவி, 
absent-mindedness,  புடைகவற்றி, ஓட்டை நெஞ்சு, 
preoccupa tion,  ஓட்டை நெஞ்சு, 
row of teeth in which one or more are lacking,  ஓட்டைப்பல், 
broken tooth,  ஓட்டைப்பல், 
mind that has no retentive power,  ஓட்டைமனம், 
