pellitory root,  அக்கரம், அச்சுவம், அக்கரா, அக்கரகாரம்/ வெண்கோட்டம், 
pyrethri radix,  அக்கரகாரம், 
white madar,  அக்கரம்/ விச்சந்தா// சதாபுட்பம்/ விச்சை, பஞ்சபூதமூலி, அங்கணம்/ விருதம், அழகர்/ வெள்ளெருக்கு: மந்தாரகம்/ வேரிச்சுமம்/ விகுரம், அளக்காய், திடமை, அலர்க்கம், அஃகரம், திட்டை, அருளகம்/ விருத்தம், தராசு, 
mango tree,  அக்கரம், ஓமை// சஞ்சீவன்: மதுதூதம்: மிருடாகம்// சட்பதாதிதி/ காமாங்கம்/ கச்சுகம்: மத்திபகந்தம்// சூரன்// சக்கரம்: மகரசால்: மாதி/ கோடம், தெசவம்: மரிச்சம்;- இறைமா/ கோகிலவாசம்// சாவதயிலம்/ கொத்துலதம், உரோகிணி// சுள்ள, பாரமர், துருமம்/ வைசனி/ கோகிலானந்தம்/ கோகிலோற்சவம்// சேகரம், ஆம், ஆமிரம், பாரமா: மகாரசிதம்: மா: மதியகந்தம்;- இறை: மாம்: மதுமா: மகாகாலம்/ கொக்கு// சிவவல்லபம்: மாமரம், தெவம்// சிவமாதிகம்/ காமசாரம்;- இலஞ்சி/ கொக்குமரம்;- இவுளி;- இணர், அக்காரம்; நிவி, 
thrush,  வாய்வெண்புள்ளிப்புண், பொரிப் பூங்குருவி, அக்கரம்; நீலப்பூங்குருவி/ குளம்புப்புண்; நீலகிரிப் பூங்குருவி, ஓர் குருவி/ வாய்வேக்காடு; நீலத்தலைப் பூங்குருவி, அச்சரம், பூங்குருவி// சீகாரப் பூங்குருவி/ வெண்தொண்டைப் பூங்குருவி, அக்கரநோய், பதுங்கன்  கிளி// சிரிப்பான்/ வாய்க்கிரந்தி/ கோழிக்கால் பூசணக்கட்டி; நீலத்தலை/ கிரிப்பான், பாறைக்கிளி, 
aphthae,  சள்ளைநோய், அக்கரம்/ வாய்வேக்காடு, அச்சரம், 
parasitic stomatitis,  அக்கரம், அச்சரம், 
a disease of the mouth,  அக்கரம்/ வாய்ப்புற்று/ கொடுப்பரளை/ வாய்வேக்காடு, அச்சரம், 
a form of diarrhoea,  அக்கரம், 
letter of the alphabet,  அட்சரம், அக்கரம்/ வர்ணம், 
learning,  அக்கரம்/ வித்தகம், பயிலுதல்/ கலை/ குலவித்தை, அறிவு, தேர்ச்சி/ கற்கை, பனுவல்/ வாணி/ கற்பு, அரசவாகை, ஆரிடம்// சாலம்/ வாயூறு, பொருள், உறுத்தை, படிப்பு, புலமை: மாணவகம், புலம், அத்தியயனம், பயிலல்/ கற்றுக்கொள்ளுதல்// செல்வம், ஓதி, படிப்பனவு/ கற்றல், அந்தணரறுதொழில், உதி: மதிநுட்பக் கற்றல், ஊதியம்// சால்பு, அத்தியானம்/ வாசிப்பு/ விஞ்சை/ கற்பனை, தன்னை கட்டுப்படுத்தக் கற்றல், அரசர்பக்கம், பண்டை, அரசரறுதொழில், ஆயல்/ கல்வி/ விச்சை/ கேள்வி, ஊகை, தகுதி, படினம், எழுத்து/ வக்கணம், யூகை, 
sky,  மங்குல், அக்கரம்: மிசை/ வானம்: மேல், யால்லம்/ வானகம், உம்பரம்/ கௌனிகம், புட்கரம்/ குழை/ விட்டு; நபம்/ வியோமம்/ கொண்மூ; நாகம்/ விண்டு, ஆலம், அகலம், உம்பர்/ வா/ காசம், அப்பிரம், அரூபம், அம்பு, அநந்தம்/ விசும்பு/ வியனிடை, ஆகாயம், துக்கம்// செல்/ வியன், ஆசினி/ குண்டலம், யாரியாத்தி, உலர்மரம், தூலம்;- இடம், அந்தரம், உலகம்// சேண், அண்டம்: மேகவத்துமம்/ விண், அத்திரி/ வான்: மீ/ கெவுனம், திவம்: மேகத்துவாரம்/ கோ: மை, அனந்தம்/ வெளி/ விண்டுபதம், அம்பரம்: மானம்: மீலம், அகம்; நெற்றி/ விண்டலம், திகந்தராளம், தாராபதம், உலோசம், ஆகாசம், திராபம்: மாகம்// சிதம், 
salvation,  பேரின்பம், அக்கரம், துருவம்/ வரகதி; நித்தியானந்தம்: முத்தம்; நற்கதி, உய்கை, தேவபவனம்; நிச்சிரேயசம்; நிரதிசயவின்பம்; நெடுவீடு// செல்கதி, தவாவினை: மீளாக்கதி, பரமகதி// சிவகதி, தூய்மை, பரமபதம்: மோட்சம்/ கடைத்தேற்றம்/ வீடுபேறு, தேவநிகாயம்: மாலதி, உய்தி/ கேடிலுவகை/ கரையேற்றம்// சாசுவதம்: மீட்பு, தத்துதல், பெரும்பொருள்; நெறி, உய்வு: முத்தாந்தம்: மெய்ந்நீர்மை: முகடு, 
virtue,  அக்கரம், அறம்; நற்பண்பு; நேர், உபநிடதம்; நிழலி// செம்பொருள்; நலம்/ வண்ணம்/ கலியாணம்// சத்து, ஆறு/ கற்பு, அறவி; நன்று; நல்லொழுக்கம்/ விருடம்/ கல்யாணம்/ குசலம்// சிறப்பு; நன்றி; நேர்மை, தகவு, பொருள், ஒழுக்கம், தகுதி, பெரும்பொருள்: மங்கலம்; நல்லது; நன்மை, புண்ணியம், அனகம், 
that which is strong or virulent,  அக்கரம், 
aphthae parasitic stomatitis,  அக்கரம், 
letter of the alphabet writing symbol,  அக்கரம், 
white madar calotropis gigantea,  அக்கரம்மா, 
