to beaslant,  சரி, 
toslope,  சரி, 
to flock to a place,  சரி, 
to go in crowd,  சரி, 
to cause to slipor roll,  சரி, 
topple,  சரி/ கவிழ்தல்/ கவிழ்/ கவிழல், 
mountain way,  சரி, 
suitablity,  சரி, தகை, 
equal measure of quantity,  சரி, 
a term of approbatium meaning,  சரி, 
the state or condition of being adjusted,  சரி, 
properiety,  சரி, 
tick mark,  ஏற்புக்குறி// சரிக்கோடு, ஏற்குறி, 
like for like,  சரிக்குச்சரி, 
the seven notes of the gamut,  சரிகமபதநி// சத்தசுரம்// சப்தசுரம், 
to be exactly equal,  சரிகாணு, 
examine the accuracy of,  சரிகாணு, 
to bring about ones death,  சரிகாணு, 
lace,  லேசு, ரேந்தை// சரிகை/ காலணி நாடா, தையல்// சரியை/ கைப் பின்னல், எந்திரப் பின்னல், பின்னல்பட்டி/ வாரிழை, பின்னல்// சரிகைத் தார்க்குழல், 
horsetail,  பட்டு கலவை நூல்// சரிகை, 
compon,  சரிகை, 
a gesticulation with the limbs in dancing,  சரிகை, 
gold or silver thread,  சரிகை, 
used as lace,  சரிகை, 
a gesteculation with the limbs in dancing,  சரிகை, 
thin laced border in a cloth,  சரிகைக்கம்பி, 
cloth border of braided lace,  சரிகைக்கெண்டை, 
cloth-border of braided lace,  சரிகைக்கெண்டை, 
skein of gold thread,  சரிகைத்திரி, 
a kind of hopscotch,  சரிகைப்பாண்டி, 
brass mountain,  சரிகைமலை, 
silver obtained by melting silver lace,  சரிகைவெள்ளி, 
silver obtained by melting silver-lace,  சரிகைவெள்ளி, 
perfect equality,  சரிசமானம், 
small-leaved saraparilla,  சரிசயம், 
wild basil-ocimum adscendenn,  சரிணம், 
a kind of hop-scotch,  சரித்தான்பாண்டி, 
a parasitia plant loranthus,  சரித்துடை, 
a man of deed,  சரிதன், 
equal manner,  சரிநிகர், 
stateorcondition,  சரிநிகர், 
a word equal to uttered from arrogance,  சரிப்பேச்சு, 
country saraparilla,  சரிபாசி, 
molety,  சரிபாதி, 
exact time,  சரிபொழுது, 
to progress,  சரிபோ, 
as a game,  சரிபோ, 
as contending parties,  சரிபோ, 
to have ones own way,  சரிபோ, 
a kind of girdle set with gems,  சரிமணி, 
accurate value,  சரிமதிப்பு, 
established rights or privileges of individual ryot,  சரிமேரை, 
same age,  சரியகவை// சரிவயது, 
suitable age as for marriage,  சரியகவை, 
middle age,  சரியகவை// சரிவயது; நடுவயது; நடுத்தர வயது, பேரிளமை;- இடைக்காலம், 
a species of sarsaparilla,  பறைசீவி// சரியம், 
that is improper,  சரியற்றது, 
when ind,  சரியாக, 
word expr,  சரியாக, 
