as deserving of hell,  நரகன், 
a demon slain by krsna,  நரகாசுரன், 
sou,  நரகாமயம், 
a kind of tumour in the intestines,  நரகாலி, 
woman of the infernal region,  நரகி, 
one who murdered his guru,  நரகீலகன், 
a distinguished man,  நரகேசரி, 
as lion among men,  நரகேசரி, 
a distinguished man as lion among men,  நரகேசரி, 
homicidal monomania,  நரகோன்மத்தம், 
to diminishi,  நரங்கு, 
male hermaphrodite,  நரசண்டன், 
a village in kjipuram dt,  நரசம்பேட்டை, 
ancestral worship,  நரசாடி, 
a king of pallava dynasty,  நரசிங்கபருமன், 
a village in tiruvallur kafijipuram tiruvannamala,  நரசிங்கபுரம், 
incarnation of vishnu in the form of lion and man,  நரசிங்கம், 
chief of a state known as tiru mu nai p pati,  நரசிங்கமுனையரையநாயனார், 
a canonized aiva aint,  நரசிங்கமுனையரையநாயனார், 
visnu in his man lion incarnation,  நரசிங்கமூர்த்தி, 
tirumal in his man lion incarnation,  நரசிங்கமூர்த்தி, 
the kingdom of vijayanagar named after narasimha rayar,  நரசிங்கராச்சியம், 
the kingdom of vijayanagar named after nara-imma-rayar,  நரசிங்கராச்சியம், 
white lead tin,  நரவிங்கவங்கம், 
the th day of the waxing moon in vaikaci,  நரசிம்மசயந்தி, 
considered as the anniversary of narasimhas incarnation,  நரசிம்மசயந்தி, 
theth day of the waxing moon in vaikl,  நரசிம்மசயந்தி, 
considered as the anniversary of narasimmas incarnation,  நரசிம்மசயந்தி, 
as showing grace to humanity,  நரசீவதயாபரர், 
human nature,  நரத்துவம்: மனித இயற்கை, 
the illustrious among men,  நரதுங்கன், 
as lord of men,  நராதிபன்; நரபதி; நரதேவன், 
pleasant odour,  நரந்தம்; நறுமணம், 
cf crow,  நரந்தம், 
expr of words,  நரநர, 
a willage in tiruvallur d,  நரம்பாக்கம், 
that which is established by human agency,  நரம்பிரதிட்டை, 
title of chola and vijayanagara kings,  நரபதி, 
title of cla and vijayanagara king,  நரபதி, 
human sa,  நரபலி, 
human sacritice,  நரபலி, 
unit of heat produced by burning cow dung cakes,  நரபுடம், 
used in calcining medicines,  நரபுடம், 
unit of heat produced by burning cowdung cakes,  நரபுடம், 
nervous neural,  நரம்படுத்த, 
neurology,  நரம்பியல், 
neurological,  நரம்பியல், 
a thin mal,  நரம்பன், 
being all bones and veins,  நரம்பன், 
tobacco leaf,  நரம்பன்; நாலாவது, 
as having prominent fibres,  நரம்பன், 
a man of nervous strength,  நரம்பன், 
nerve power,  நரம்பாற்றல்; நரம்பாண்மை, 
skin on the top of the head,  நரம்பாணி, 
a slender woman,  நரம்பி, 
having raised veins,  நரம்பி, 
a woman with nerve energy,  நரம்பி, 
spasm of the nerves,  நரம்பிசிவு, 
sinews or tendons,  நரம்பிசிவு, 
neurological treatment,  நரம்பியல்பண்டுவம், 
neurologist,  நரம்பியலர்; நரம்பியல் மருத்துவர்; நரம்பியல் வல்லுநர், 
neuro physician,  நரம்பியல் மருத்துவர், 
neruological doctor,  நரம்பியல் மருத்துவர், 
neurological expert,  நரம்பியல்வல்லுநர், 
south india pine,  நரம்பிலி, 
sterching of the nerves of the body cantraction of the nerves of the body,  நரம்பிழுப்பு, 
contraction of muscular fibres,  நரம்பிழுப்பு, 
neurine,  நரம்பிழைமம், 
contraction of the nerves-neurine,  நரம்பிழைமம், 
nerves debility,  நரம்பிளைப்பு, 
nerve fibre,  நரம்பின்நார்; நரம்புநார்; நரம்பிழை, 
