a mangoshaped ornamental piece in a necklace,  மாங்காய், 
consisting of a central diamond surrounded by eleven rubies,  மாங்காய், 
a mango shaped ornamental piece in a necklace,  மாங்காய், 
consisiting of a central diamond surrounded by eleven rubies,  மாங்காய், 
testicle of quadrupeds,  மாங்காய், 
kidney of quadrupeds,  மாங்காய், 
a kind of ankle ornament,  மாங்காய்ப்பட்டடை, 
mad,  பித்துப்பிடித்த: மாங்காய்ப்பட்டடை/ காமக்கோட்டி, பைத்தியமான: மூளைக்கோளாறுடைய, 
boiled mixture of milk,  மாங்காய்ப்பால், 
muppalam and sugar,  மாங்காய்ப்பால், 
three kind of fruits and sugar,  மாங்காய்ப்பால், 
a gum of mango tree,  மாங்காய்ப்பிசின், 
a kind of padlock,  தொட்டிப்பூட்டு: மாங்காய்ப்பூட்டு, 
necklace containing mango shaped pieces,  மாங்காய்மாலை, 
dried pieces of salt pickled mango,  மாங்காய்வற்றல், 
ginger smelling like mango fruit,  மாங்காயிஞ்சி, 
kidney,  வக்கு/ குண்டிக்காய்: மாங்காயீரல்: மூத்திரக்கோசம்// சிறுநீரகம்/ குண்டி: மூத்திரக்குண்டிக்காய், 
mango balsam,  மாங்கிளுவை, 
one of the mineral stones,  மாங்கிசக்கல், 
vernic caseosa,  மாங்கு/ கருக்குழவித் தோல் வெண்ணெய், 
the sticky coating over the body of a new born baby,  மாங்கு, 
a dry salt spread over the land part,  மாங்கு, 
a great poet and chairman of the poets forum during period of,  மாங்குடிமருதனார், 
mango seed,  மாங்கொட்டை, 
kind of stone formed under the ground in pale red colour,  மாங்கொட்டைப்பார், 
great suffering,  மாச்சல், பெரும்பாடு/ கடையாட்டம், 
fetters,  நிகளம்// சிறைக்கட்டு, தொடர், பூட்டு, பேடி, புணை// சங்கிலி/ வல்லி, புனை, தடயம்: மாச்சி, ஆமம்: மாச்சு/ வளையல், தளை/ விலங்கு, தளையம்/ கைச்சங்கிலி/ விலங்கீடு, 
rue,  சகாதி, அருவதா, அரூதா// சோமம், பாம்புகொல்லி: மாச்சி/ கெண்டூரம்// சகா// செய்ததற்கிரங்கு நிலை, 
a plant which cures snake bites,  மாச்சி, 
metrical foot of two acai ending in ner,  மாச்சீர், 
metrical foot of two in,  மாச்சீர், 
a kind of childish medicine,  மாச்சீனி, 
dired ginger without fibre,  மாச்சுக்கு, 
a childs play,  மாச்சுமாச்சுத்தம்பலம்/ குடம் வைத்தல், தாய்ச்சித்தம்பலம், 
a kind of childs play,  மாச்சுமாச்சுத்தம்பலம், 
debts or dues payable in monthly instalments,  மாசக்கடன், 
galls,  கழலைகள்/ கட்டிகள்: மாசக்காய்: முடிச்சுகள்/ கரணைகள்; நோய்க்கழலைகள், 
dyers oak,  மாசக்காய், 
quercus infectona,  மாசக்காய், 
british oak,  மாசக்காய், 
tr quercus robur,  மாசக்காய், 
tannic acid,  மாசக்காயுப்பு: மாசிக்காயுப்பு, பதத்துவர்ப் புளிமம், 
acidum tannicum,  மாசக்காயுப்பு, 
cuspidate leaved jungle geranium,  மாசகணி, 
coaxing,  குசாமந்தி, தாசகமாசகம், அயற்சி வலிமை மேம்பாடு: மாசகதாசகம்/ குளிசிங்கி, லாலனை: முகப்போதரவு; நளினக்கதை, 
monthly payment,  மாசகந்தாயம், 
menses,  மாசங்கம்/ வண்ணானழுக்கு: முழுக்கு/ வீட்டுக்குவெளி: மாதவிலக்கு: முட்டு: மாதவிடாய் மாதவிலக்கு, ஆர்த்தவம்/ விலக்கம்: மாதவிடாய்/ விலக்கு, பலம், தீட்டு, 
the last days of a month when there may be difficulty for money,  மாசச்சந்துக்கட்டு, 
a millet,  கேழ்வரகு/ குருக்கன்: மாசச்சித்திரம்: மொண்டி: மலங்கம்பு, 
civarattiri,  மாசசிவராத்திரி, 
occurring in every month,  மாசசிவராத்திரி, 
cubebs,  மாசடி;- இலதை: மாசெடி, அரேணுகம், 
suma tree prosopis spicigera,  மாசடையான்// சதிராசா, 
narcotic leaves of a plant,  மாசடையான், 
a dark green ever green plant found in gardens in hedge row,  மாசத்தி, 
a small snake in flowers specially of fragrant screw pine,  மாசத்தி, 
great wonder,  மாசதிர், 
a ash coloured plant,  மாசந்தினி, 
mistake in calculating the time of delivery due to error in fixing the date of conception,  மாசப்பிசகு, 
beginning of a month,  மாசப்பிறப்பு: மாதப்பிறப்பு// சங்கிராந்தி, 
a twelfth part of a year,  மாசம், 
solar month,  மாசம், ஞாயிறு// சூரிய மாதம்// சவுரமாதம், ஞாயிற்று மாதம், 
cittirai,  மாசம்; நட்சத்திரம், 
vaikaci,  மாசம், திரமாதம்: மாதவம், 
avani,  மாசம், திரமாதம், 
purattaci,  மாசம்// சடசீதிமுகம், 
aippaci,  மாசம், 
karttikai,  மாசம், திரமாதம்/ வரயோகம்; நட்சத்திரம், 
markali,  மாசம்// சடசீதிமுகம், 
tai,  மாசம்: மகரம்// சங்கிராந்தி, 
maci,  மாசம், திரமாதம், 
pakuni,  மாசம்/ கூனி, 
lunar month,  மாசம்// சங்கற்பமாசம்; நிலவு மாதம்// சந்திரமாசம்; நிலா மாதம்; நிலா புவி சுற்றும் காலம், திங்கள்வழி மாதம், திங்கள், 
monthly,  மாசாந்தரம், திங்களிதழ், திங்கள் கழிவுகள்: மாதக் கணக்கறிக்கை: மாசமாசம்: மாதவாரியான/ வேதனம்: மாதாந்திரக் கழிவுகள், திங்களுக்கொருமுறையான, 
lymphatics lymphatic vessels,  மாசயணி, 
the thin creame like coaling on the surface of the rice water,  மாசரம், 
menstruation,  பூப்பு, போக்கு, புட்பம், அசூசம்: மாதாந்தசஞ்சீவி: மாதவிலக்கு, ஆசுசம், துக்கை: மாசவிடாய், பூ: மாதவிடாய்/ வீட்டுக்குவிலக்கு: மாதப்போக்கு, தூரம், தீட்டு, 
without impurities,  மாசற்ற, 
calcined,  காரியசத்துரு: மாசற்ற, 
liquor amni a discharge in woman just before delivery,  மாசற்றநீர், 
a kind of pure black stone without impurities used for making idols as lingam,  மாசற்றலிங்கம், 
green vitriol sulphate of iron,  மாசற்றவண்ணம், 
purified cotton seed,  மாசற்றவாளம், 
multitude of people,  மாசனம், 
royal counsellors including ministers and priests,  மாசனம், 
a sweet preparation of gaja,  மாசனம், 
intoxicant prepared from indian hemp,  மாசனம், 
royal conunsellors including ministers and priests,  மாசனம், 
aiyanar,  பூரணைகேள்வன்: மகாசாத்தா/ கோழிக்கொடியோன்/ காரி/ வெள்ளானையுள்ளோன்/ கருங்கடல்வண்ணன், புறம்பணையான்: மாசாத்தன்; நல்லசேவகன்/ கரிவாகனன்// சாதவாகனன், யோகி// சேவகனார், 
the original source of ayyanar in the form of terracotta or sudhai forms in the villages,  மாசாத்தனார், 
a trading family,  மாசாத்துவன், 
the hero of silappathikaram,  மாசாத்துவான், 
poridge semi liquid food,  மாசாதம், 
one of four division of men,  மாசாதி, 
great patience,  மாசாந்தம், 
the end of a month,  மாதாந்தம்: மாசாந்தம், 
worship performed at a shrine on a particular day of the week,  மாதாந்தம்: மாசாந்தம், 
as friday,  மாதாந்தம்: மாசாந்தம், 
occurring last in a month,  மாசாந்தம், 
every month,  மாசாந்தரம், 
per mensem,  மாசாந்தரம்: மாத திங்களொன்றுக்கு: மாதத்திற்கு: மாதம் ஒன்றிற்கு, 
pretensio,  பா: மாசாலம்: மாய்மாலம், 
dissimulation,  குடாசகம், பாவனை/ குறத்தனம்: மாயாசாலம், பேடிசம்/ குய்யம்: மாசாலம்: மாய்மாலம், உட்கள்ளம், அவகடம், தந்திரம், போலி, போலி நடிப்பு/ கூழைத்தனம்/ கள்ளம், அபகடம், பாசாங்கு: மாரீசம், 
whining,  சிணுக்காட்டம்/ குணுகுணெனல், ஞைஞையெனல்: மாசாலம்// சிணுக்கம், 
name of the eleventh Tamil month from mid February to mid March,  மாசி, 
mist,  மூடுபனி மறைபனி: மூடுபனி, பனிமாசு/ வெம்பா, புகார்: மூடு பனி: மறைபனி: மாசி; நீர்மமூட்டம், பனி, 
cf new ridge of paddy field,  மாசி, 
the th solar monthfebruary march,  மாசி, 
new ridge of paddy field,  மாசி, 
the th solar month february march,  மாசி, 
powdered dry fish,  மாசி, 
fat bull,  துண்டுருட்டிக் காளை, துண்டுருட்டிக்காளை: மாசிக்கடா, 
as fed on straw available in plenty in the month of maci,  மாசிக்கடா, 
as fed on straw available in plenty in the month of,  மாசிக்கடா, 
ram to be solained during month to village deities to fulfil vow,  மாசிக்கடா, 
galls used as a medicine,  மாசிக்காய், 
a kind of herb tree,  மாசிக்காய், 
useful for medicine,  மாசிக்காய், 
an ointment prepared from oak gall,  மாசிக்காய்களிம்பு, 
a kind of kar paddy,  சண்டிக்கார்: மாசிக்கார், 
summer crop of paddy,  மாசிக்கோடை, 
as harvested in maci,  மாசிக்கோடை, 
the month of maci,  மாசிக்கோடை, 
as part of the summer season,  மாசிக்கோடை, 
summer crop of paddy as harvested in february march,  மாசிக்கோடை, 
the month of,  மாசிக்கோடை, 
monthly ceremony for a deceased person,  மாசிகம், 
performed during the first year after death,  மாசிகம், 
monthly magazine,  திங்களிதழ்: மாசிகை: மாத இதழ், 
horn of a stag,  மாசிங்கம், 
indian globe thistle,  தோண்டி// சவிகம்/ கொட்டைப்பாமிரம், திருடன்: முண்டனி// சிவப்புக்கொட்டைக்கரந்தை, புட்பகொரித்தாரு, ஆனந்தை/ கொட்டைக்கரந்தை// சிவன்முடிச்செல்வி, தெண்டுபூக்கொடி/ விட்டுணுகரந்தை/ கரந்தை// சிரவணி/ கொட்டான்கரந்தை: மாசித்தகன்னி; நாறுகரந்தை// சிதம், 
dew water collected in the month of,  மாசித்தண்ணீர், 
water mixed with dew water,  மாசித்தண்ணீர், 
a kind of peculiar stone used by siddhars while flying in the aerial regions to afford stability,  மாசித்தர்மோசம், 
black granite stone,  மாசித்திக்கல், 
camp for the liberal distribution of animals captured from ones enemy,  மாசிதறிருக்கை, 
camp for the bibaral distribution of animals captured from ones enemy,  மாசிதறிருக்கை, 
jasmine tree,  மாசிப்பச்சோபிதம், அதிமோதம், 
indian absinth,  மாசிபத்திரி/ கந்தநாகுலி, தவனம், 
artemisia vulgaris,  மாசிபத்திரி, 
wormwood,  மாசிபத்திரி; நாகதமனி, 
aromatic herb,  மாசிபத்திரி, 
artemisia absinthium,  மாசிபத்திரி, 
madras absinth,  மாசிபத்திரி, தட்டை// சின்னப்பூக்கொட்டைக்கரந்தை/ கொட்டைக்கரந்தை, 
grangea maderaspatna,  மாசிபத்திரி, 
worm wood,  மாசிபத்திரி, 
the full moon day in maci,  மாசிமகம், 
when the moon is generally in makam,  மாசிமகம், 
the full-moon day in,  மாசிமகம், 
when the moon is generally in magam,  மாசிமகம், 
mango flowers,  மாசிமழை, 
as falling in maci,  மாசிமழை, 
as falling in,  மாசிமழை, 
rain of month,  மாசிமழை, 
red orpiment impure bisphurate of arsenic,  மாசிலம், 
spotless gem,  மாசிலாமணி/ கழுமணி, 
as siva,  பெருமான்: மாசிலாமணி, 
god of,  மாசிலாமணி, 
dopant,  மாசு, 
pollutant,  மாசுபடுத்தி: மாசுபொருட்கள்: மாசுப்பொருள்: மாசு, 
contamination,  மாசுபடுத்தல்: மாசுறல்: மாசுப்பொருள் கலப்பு: மாசடை: மாசு: மாசுபடுதல்/ கலப்படமாதல்: மாசுகலத்தல்: மாசுசேருதல்/ கலத்தல்: மாசுறுதல், தூய்மையைக் கெடுத்தல், தூய்மைக்கேடு, தொற்று, தொற்றுதல்: மாசுபடல், 
dross,  ஆரம்/ கறள்/ கழிவு: மாசு, உருக்கற்கழிவு, உருக்கிய உலோகக்கழிவு, பறிக்கல், உருக்கு கழிவு, 
blemish i,  மாசு, 
taint,  கறை, ஊழல்கறை/ கரிசு/ கறைப்படுத்து, தொற்று: மாசு/ குறி, பதன்பாட்டுணா-வாடை/ கறுப்பு, அழுக்குப்படிதல், தீட்டு, 
tarnish,  கறை/ கெடு/ கனிமப்புறத் திரிநிறவொளிர்வு: மேன்மாசூறு/ களங்கம்: மங்கச்செய்/ கறைப்படுத்து: மாசு/ கறைப்பாடு: மாசுப் படிவு கருத்தல்: மங்கலுறுகை/ களங்கப்படுத்து; நிறம் மங்குதல்/ கறைப்படுத்துதல், 
cf trifle,  ஒக்கம்: மாசு, 
ordure,  குப்பை// சமலம்: மாசு, பிழுக்கை, 
afterbirth,  பின் பிறப்பு: மாசு; நஞ்சுக்கொடி, 
flim in the eye,  மாசு, 
cord of a net,  மாசு, 
film in the eye,  மாசு, 
n sponge gourd,  மாசுகம், 
ribbed gound,  மாசுகம், 
pythonidac,  மாசுணம், 
rock-snake,  மாசுணம், 
a cre,  சல்லிக்கொடி: மாசுணி, 
an eye disease marked by growth of film,  மாசுபடர்தல், 
blemishle,  மாசுமறுவற்ற, 
blemishless,  மாசுமறுவற்ற, 
pox fever,  மாசுரசுரம், அம்மைச்சுரம், 
blotting paper,  மாசுவாங்கி, ஒற்றுத்தாள்: மையொற்றுத் தாள்: மையொற்றுத்தாள்: மை ஒற்றுத்தாள், உறிஞ்சு தாள்: மை ஒற்றுதாள்: மையொற்றி, ஒற்றுத் தாள்: மையுறிஞ்சி, 
cruptive fever,  மாசூரசுரம், 
god subrahmanya,  மாசேனன், 
mickle much,  மாசேனை, 
an ancient coin of the weight of a grain of masa,  மாசை, 
or blackgram,  மாசை, 
an ancient coin of the weight of a grain of or blackgram,  மாசை, 
spikenard herb,  செப்பிடில்: மாஞ்சி; நமத்தம்// சக்கரவர்த்தினி: மாமிசி// செந்துத்தீ; நவத்தம்// செந்து, பூதகேசனி; நலத்தம்// சடாமாஞ்சி; நளத்தம்; நாரத்தம், உலோமசம், பெருங்கோரை, 
sunn hemp,  நணந்தம், உமதகி, உமாதசி: மாஞ்சி// சணல்/ குத்து, பன்னி; நனந்தம்; நண்பன், 
sunn-hemp,  மாஞ்சி// சணல், 
a herb useful for eye diseases,  மாஞ்சிரோகணி, 
under sea marsh,  மாஞ்சோறு, 
a kind of magical art,  மாஞாலம், 
a big variety of dhatura,  மாஞாலம், 
glorious s,  மாட்சி, 
a kind of honey secreted by tawny bees and considered best,  மாட்சிகம், 
calcined pyrite,  மாட்சிகற்பம், 
step or track of cattle,  மாட்டடி, 
as in beating an ox,  மாட்டடி, 
step or tract of cattle,  மாட்டடி, 
chain attached to the ear stud to be hooked to the hair above,  மாட்டல், 
a womans ornament,  மாட்டல்// சடைவில்லை, 
sympathise,  மாட்டல், பரிதவி, 
an women ornament,  மாட்டல், 
goad,  முள்/ குத்துக்கோல்: மாட்டாங்கோல்: முளவு, தாற்றுக்கோல் தாற்றூசி, தார்க்குச்சு, தூண்டு, தார்க்கோல்/ விரைவுபடுத்து, தூண்டுகோல், 
or stick used in driving cattle,  மாட்டாங்கோல், 
incapable,  திறமையற்ற, ஆற்றலற்ற: மாட்டாதார்: மாட்டாமை, 
incompetent persons,  மாட்டாதார், 
those who entangled,  மாட்டாதார், 
not tangled,  மாட்டாமை, 
not catch,  மாட்டாமை, 
burn up,  மாட்டி, 
cowherd,  கோபாலர்/ கலயன், ஏறாடி;- இடையர்/ கோபன், ஆநாயன், ஆய்மகன், ஆயர்/ குடவன்: மேய்க்கி; நந்தன்/ கலசன்: மாட்டிடையன், ஆகாப்போன்;- இடையன்/ வல்லவன், 
fly big in size,  மாட்டிலையான், 
big size fly,  மாட்டீ, 
to put in stocks,  மாட்டிவிடு, 
to shackle,  மாட்டிவிடு, 
to involve one in,  மாட்டிவிடு, 
to subject one to,  மாட்டிவிடு, 
ford across a river for cattle to cross,  மாட்டிறக்கம், 
beef,  மாட்டிறைச்சி: மாட்டுக்கறி, பெருமாமிசம், பெருவிறைச்சி/ வள்ளுரம், பிணக்கு: மாட்டு இறைச்சிக்குழம்பு, 
sueat,  மாட்டு, ஆட்டுக்கொழுப்பு, 
to fasten on,  மாட்டு// செறி, 
tackle,  / கையாளு// சுமைதூக்கு கலன்: மாட்டு, எதிர்த்துநில், தடுத்துநிறுத்து, பாரக்கயிறு, எதிர்த்துப்போராடு, தளவாடம், எதிர்கொள்// சமாளி/ கப்பற்பாய் இழுப்புக் கருவிக்கலம், எதிர்த்துப் போராடு/ கயிறு கப்பிஅமைப்பு/ கயிறு  கப்பி கலன் எந்பொறி, 
hook,  ஊக்கு, பூட்டு: மாட்டு, தூண்டில், துரட்டி முள்/ கொளுக்கி/ கொக்கி/ வயறு/ காது, தூண்டில்முள்/ வளைந்த மணல்திட்டு, தோட்டி/ குரங்கு/ கொளுவி, 
to fix,  வரை/ வை, பூட்டு: மாட்டு/ வரி, ஊன்று, 
attach,  இணை, ஒட்டு, தண்டு: மாட்டு// சேர், பற்று, உடன்இணை, 
as fuel,  மாட்டு, 
to use,  பெய்/ வழங்கு, உபயோகி: மாட்டு, போடு, பரிமாறு, 
bring into play,  மாட்டு, 
to grasp,  பற்ற/ வளை: மாட்டு/ கடி// சுற்று, பிடி, 
to be proficient in,  மாட்டு, 
to beat violently,  மாட்டு, 
as a fire,  பொத்து: மாட்டு, ஊது, 
to light,  நோ, ஏற்று, பொத்து: மாட்டு/ வெளிச்சம்போடு, 
part to be able,  மாட்டு, 
to be copetent,  மாட்டு, 
to have necessary strength,  மாட்டு, 
to cause to disappear,  நிழத்து: மாட்டு, 
a mode of construction in verse,  மாட்டு, 
which consists in taking together words connected in sense,  மாட்டு, 
whether far removed from each other or in close proximity,  மாட்டு, 
to kindle as a fire,  மாட்டு, 
to be able,  தள்ளு, ஒல்லு/ வல்லுதல்: மாட்டு;- இயலல்/ வா/ கழி, 
to be competent,  போது: மாட்டு, 
a kind of small fish,  கருக்காடி/ கட்டாப்பாறை: மாட்டுஅயிரை/ கொடுவாக்குட்டி, 
stake for tying cattle,  மாட்டுக்கட்டை, 
neat herd,  மாட்டுக்காரப்பையன்;- இடையன், 
cow-boy,  மாட்டுக்காரப்பையன், 
black drange,  கருங்கருவாட்டு வாலி/ கஞ்சனம்/ கரிக்கருமான்: மாட்டுக்காரன்/ வயவன்/ காரி/ கரிக் குருவி/ கரிக்குருவி/ வாலிக்கரிச்சான் கரிக்குருமான்/ வலியன் கொடைக்காரக் குருவி/ கருவாலி/ கரிச்சான், 
dicrucus macroclicus,  கருங்கருவாட்டு வாலி/ கஞ்சனம்/ கரிக்கருமான்: மாட்டுக்காரன்/ வயவன்/ காரி/ கரிக் குருவி/ வலியன் கொடைக்காரக் குருவி/ கருவாலி/ கரிச்சான், 
thrush malabar,  சீகாரப் சீகாரம்// சூளைக் காக்கா: மாட்டுக்காரன், அக்கா குருவி, பூங்குருவி, 
whistling,  எரண்டா// சீகாரப் சீகாரம்// சீழ்க்கை/ கச்சுத்  தாரா, பூங்குருவி// சீழ்க்கையொலிப்பு/ வீளையீடு// சீற்காரம்/ கீச்சுக்கிளுவை// சூளைக் காக்கா// சிறகி// செங்கிளுவை// சீட்டி: மரத் தாரா: மாட்டுக்காரன்// சீட்டுத் தாரா, அக்கா குருவி// சீழ்க்கை தில்லித் தாரா/ வீளை, 
mylophonus horstifield,  சீகாரப் சீகாரம்// சூளைக் காக்கா: மாட்டுக்காரன், அக்கா குருவி, பூங்குருவி, 
owner of cattle,  மாட்டுக்காரன், 
one who tends cattle,  மேய்க்கி: மாட்டுக்காரன், 
herd of cattle,  தானையம்: மாட்டுக்கிடை/ கதுப்பு, 
toa of bulls,  மாட்டுக்குளம்பு, 
cows hoof,  மாட்டுக்குளம்பு, 
cattle shed,  மாட்டுத் தொழுவம்/ கோகுலம், தொழுவறை/ கால்நடைத் தொழுவம்: மாட்டுக்கொட்டில், தொட்டில், தொழுவம், தொறுவிடம், 
cow-shed,  கோசாலை: மாட்டுக்கொட்டில்// சாலை, 
horn of cattle,  கோத்தந்தம்: மாட்டுக்கொம்பு/ கோதந்தம், 
sea-small plant which is used on ornament,  மாட்டுக்கொம்பு, 
horns of cattle,  மாட்டுக்கொம்பு, 
a kind of natural body,  மாட்டுக்கொம்பு, 
tallow,  விலங்குக் கொழுப்பு: மாட்டுக்கொழுப்பு: மாநிண நெய்யம் விவங்கு நிணநெய்யம்/ விலங்குக்கொழுப்பு/ கெட்டிக் கொழுப்பு/ கொழுப்பு மெழுகு, 
goad or stick used in driving cattle,  மாட்டுக்கோல், 
bezor orientale,  மாட்டுச்சாபிகம், 
the smell of cattle,  மாட்டுச்சிணி, 
a big size of fish,  மாட்டுச்செறையா, 
forehead ornament arround the cattle made up of oyster,  மாட்டுச்சோளி, 
acarus,  மாட்டுண்ணி: மென்னுண்ணி இனம்/ கறையான், உண்ணி, பேன், 
tick on dogs,  மாட்டுண்ணி, உண்ணி, 
sheep and cattle which is big in size,  மாட்டுண்ணி, 
brutishness,  மாட்டுத்தனம், 
bruitishness,  மாட்டுத்தனம், 
cattle fair,  மாட்டுத்தாவணி, தாவணி, 
plastic sh,  மாட்டுத்தாள், 
coarse paper of,  மாட்டுத்தாள், 
tether for cattle,  மாட்டுத்தும்பு, 
four kalam of quick lime,  மாட்டுநீறு, 
as one bullock load,  மாட்டுநீறு, 
four kalam of quick-lime,  மாட்டுநீறு, 
as one bullock-load,  மாட்டுநீறு, 
cattle pond,  கால்நடைக் குட்டை: மாட்டுப்பட்டி, 
large teeth,  மாட்டுப்பல், 
trunk fish,  ஊமைச்சி/ கொட்டுளு: மாட்டுப்பிலாச்சை, 
a large size of fish,  மாட்டுப்பிலாச்சை, 
gross dullness,  மாட்டுப்புத்தி, 
a kind of fruit given as antidote against poison,  மாட்டுப்பூசணி, 
festival of ceremonial boiling of rice performed on the second day of the month or tai in order to ensure prosperity of cattle,  மாட்டுப்பொங்கல், 
festival of ceremonial boiling of rice performed on the second day of the month of in order to ensure prosperity of cattle,  மாட்டுப்பொங்கல், 
branding,  வணிகச் சின்னம் கொடுத்தல்: மாட்டுமழு/ வணிகச் சின்னமிடல், அடையாளக் குறியிடுதல்/ குறியிடுதல்/ வணிகக் குறியிடல்// சுடுகை, 
coffer fish with two horn like growths on the head,  மாட்டுமீன், 
it is a sea fish,  மாட்டுமீன், 
a kind of fungus,  மாட்டுமுலைக்காளான், 
as resembling the teat of a cows udder,  மாட்டுமுலைக்காளான், 
bullock cart,  மாட்டுவண்டி, 
a part of net in large net,  மாட்டுவலை, 
indigenous veterinary science,  மாட்டுவாகடம், 
indigenous veterinery science,  மாட்டுவாகடம், 
system of sharing naja produce,  மாட்டுவாரம், 
in which the tenants portion is determined by the number of yoke of oxen that he furnishes,  மாட்டுவாரம், 
system of sharing produce in which the tenents portion is determined by the number of yoke of oxen that he furnishes,  மாட்டுவாரம், 
to ascribe,  மாட்டெறி, 
docketing on a deed,  மாட்டெ, 
